index,init_x,init_y,init_z,target_x,target_y,target_z,init_distance,target_width_diameter,target_accuracy,movement_time,episode_successful,dist_to_target
248,0.549056946,0.135260775,0.105109359,0.55,0.123049175,0.148006219,0.044611132,0.01,0,0.11,TRUE,0.0212661
249,0.551298412,0.134897044,0.130394037,0.55,0.11550191,0.164211117,0.039005794,0.01,0,0.13,TRUE,0.01694839
250,0.554499354,0.124605333,0.15064161,0.55,0.106407762,0.173269221,0.029383747,0.01,0,0.19,TRUE,0.01240668
251,0.551960119,0.115987767,0.165633305,0.55,0.096865681,0.174589545,0.021206378,0.01,0,0.17,TRUE,0.00857433
252,0.548063298,0.104546279,0.171306763,0.55,0.087273962,0.167917595,0.017707914,0.01,0,0.11,TRUE,0.01048231
253,0.548923099,0.097688952,0.167420597,0.55,0.078486961,0.152272671,0.024481337,0.01,0,0.07,TRUE,0.0161119
254,0.549579108,0.091880852,0.161218049,0.55,0.072885146,0.132092122,0.034775475,0.01,0,0.07,TRUE,0.02056624
255,0.550443298,0.08532959,0.148460068,0.55,0.070225062,0.109169614,0.042096117,0.01,0,0.09,TRUE,0.02090255
256,0.54938781,0.07761768,0.12871165,0.55,0.070740082,0.083443808,0.045791414,0.01,0,0.09,TRUE,0.02236817
257,0.550058467,0.071699044,0.10579134,0.55,0.074429719,0.060776225,0.0450979,0.01,0,0.09,TRUE,0.02089779
258,0.550863514,0.072402603,0.081557534,0.55,0.080858226,0.042250947,0.040215059,0.01,0,0.09,TRUE,0.01738603
259,0.549219472,0.077360922,0.059263697,0.55,0.089480998,0.02976154,0.031904275,0.01,0,0.09,TRUE,0.01256559
260,0.549211969,0.082808102,0.04037971,0.55,0.099571203,0.025007662,0.022757909,0.01,0,0.08,TRUE,0.00922526
261,0.549050148,0.0911266,0.028598192,0.55,0.109548563,0.028900381,0.01844891,0.01,0,0.07,TRUE,0.009169
262,0.548294736,0.100874296,0.026467333,0.55,0.118426627,0.040814939,0.022734248,0.01,0,0.08,TRUE,0.01370925
263,0.547095346,0.111605074,0.029283548,0.55,0.125213601,0.059358708,0.03313826,0.01,0,0.08,TRUE,0.01809059
264,0.545698855,0.123114112,0.041912745,0.55,0.129241342,0.083239942,0.041999762,0.01,0,0.08,TRUE,0.02141802
265,0.546709377,0.130930512,0.062143734,0.55,0.129799146,0.10866419,0.046650412,0.01,0,0.08,TRUE,0.02308454
266,0.548014703,0.135188163,0.086305459,0.55,0.127010538,0.132637291,0.047089846,0.01,0,0.09,TRUE,0.02382906
267,0.547893583,0.136937964,0.1110773,0.55,0.121517431,0.152261371,0.044026783,0.01,0,0.12,TRUE,0.01990786
268,0.551531545,0.130868574,0.134753276,0.55,0.113671596,0.166759244,0.036365694,0.01,0,0.15,TRUE,0.01765892
269,0.556185136,0.12532144,0.155017748,0.55,0.10453682,0.174137426,0.028910524,0.01,0,0.16,TRUE,0.01096679
270,0.551910401,0.112159434,0.166487806,0.55,0.094851149,0.173887132,0.018920264,0.01,0,0.3,TRUE,0.01002086
271,0.545121702,0.102679637,0.169971184,0.55,0.085933516,0.166244529,0.017835871,0.01,0,0.07,TRUE,0.01134443
272,0.546938052,0.096591231,0.168639048,0.55,0.077968264,0.150904483,0.025897978,0.01,0,0.07,TRUE,0.01622701
